,name,news_url,image_url,date_scraped,post_date_info,news_category
0,A po plakemi? ASK publikon të dhënat për moshën e popullsisë – rënie e banorëve nga 0-15 vjet,https://telegrafi.com/po-plakemi-ask-publikon-te-dhenat-per-moshen-e-popullsise-renie-e-banoreve-nga-0-15-vjet/,https://telegrafi.com/wp-content/uploads/2024/07/sheshi-380x233.jpg,2024-07-12 12:38:50.171533,28 min,"
Kosovë

|  28 min 
"
1,"Kosova ka 1,586,659 banorë rezidentë",https://telegrafi.com/kosova-ka-1586659-banore-rezidente/,https://telegrafi.com/wp-content/uploads/2024/07/popillsia-lajm1-380x233.png,2024-07-12 12:38:50.171533,2 orë,"
Kosovë

|  2 orë 
"
2,"Mashtrimi në vlerë prej 280 mijë euro për blerjen e një lokali, shkon në katër numri i të arrestuarve në rajonin e Pejës  ",https://telegrafi.com/mashtrimi-ne-vlere-prej-280-mije-euro-per-blerjen-e-nje-lokali-shkon-ne-kater-numri-te-arrestuarve-ne-rajonin-e-pejes/,https://telegrafi.com/wp-content/uploads/2023/11/Policia-Zjarrfiksit-autoambulanta-emergjenca-foto-Ridvan-Slivova-3-380x233.jpg,2024-07-12 12:38:50.171533,3 orë,"
Kronika e Zezë

|  3 orë 
"
3,"Arrestohet një person i kërkuar në Shtime, ishte i dënuar për rrezikim të personave me mbrojtje ndërkombëtare dhe vjedhje të shërbimeve",https://telegrafi.com/arrestohet-nje-person-kerkuar-ne-shtime-ishte-denuar-per-rrezikim-te-personave-mbrojtje-nderkombetare-dhe-vjedhje-te-sherbimeve/,https://telegrafi.com/wp-content/uploads/2024/05/arrestim-2-380x233.jpg,2024-07-12 12:38:50.171533,3 orë,"
Kronika e Zezë

|  3 orë 
"
4,"Osmani: Është hera e parë në histori që Kosova përfshihet në një Samit të aleancës së shpresës, mirënjohëse ndaj SHBA-së",https://telegrafi.com/osmani-eshte-hera-e-pare-ne-histori-qe-kosova-perfshihet-ne-nje-samit-te-aleances-se-shpreses-mirenjohese-ndaj-shba-se/,https://telegrafi.com/wp-content/uploads/2024/07/450537755_509276225094371_531618679769668418_n-380x233.jpg,2024-07-12 12:38:50.171533,3 orë,"
Kosovë

|  3 orë 
"
5,"I arratisuri Faton Hajrizi shfaqet sërish në TikTok, ka një mesazh për ministrin Sveçla",https://telegrafi.com/arratisuri-faton-hajrizi-shfaqet-serish-ne-tiktok-ka-nje-mesazh-per-ministrin-svecla/,https://telegrafi.com/wp-content/uploads/2024/07/faton-3-380x233.png,2024-07-12 12:38:50.171533,4 orë,"
Kosovë

|  4 orë 
"
6,Sot publikohen rezultatet preliminare të regjistrimit të popullsisë,https://telegrafi.com/sot-publikohen-rezultatet-preliminare-te-regjistrimit-te-popullsise/,https://telegrafi.com/wp-content/uploads/2024/05/Agjencia-e-Statistikave-te-Kosoves-ASK-Regjistrimi-i-Popullsise-foto-Ridvan-Slivova-6-380x233.jpg,2024-07-12 12:38:50.171533,5 orë,"
Kosovë

|  5 orë 
"
7,"Vazhdon vapa e madhe në Kosovë – temperaturat 37 gradë, IHK këshillon edhe për kujdes gjatë vozitjes",https://telegrafi.com/vazhdon-vapa-e-madhe-ne-kosove-temperaturat-mbi-37-grade-ihk-keshillon-edhe-per-kujdes-gjate-vozitjes/,https://telegrafi.com/wp-content/uploads/2024/07/vapa2-380x233.jpg,2024-07-12 12:38:50.171533,5 orë,"
Kosovë

|  5 orë 
"
8,"Kosova ka 1,586,659 banorë rezidentë",https://telegrafi.com/kosova-ka-1586659-banore-rezidente/,https://telegrafi.com/wp-content/uploads/2024/07/popillsia-lajm1-380x233.png,2024-07-12 12:38:50.171533,2 orë,"

Lajme 

|  2 orë 
"
9,"I arratisuri Faton Hajrizi shfaqet sërish në TikTok, ka një mesazh për ministrin Sveçla",https://telegrafi.com/arratisuri-faton-hajrizi-shfaqet-serish-ne-tiktok-ka-nje-mesazh-per-ministrin-svecla/,https://telegrafi.com/wp-content/uploads/2024/07/faton-3-380x233.png,2024-07-12 12:38:50.172532,4 orë,"

Lajme 

|  4 orë 
"
